user_input,model_output
"I have 3 exams tomorrow and I haven't started studying. I'm going to fail everything.","It is completely understandable to feel panicked when you have so much due at once. Let's pause for a second and take a deep breath. Even if you can't study everything, we can prioritize. Which exam is worth the largest part of your grade?"
"My friends went out without me and I feel like they hate me. I'm always the odd one out.","It really hurts to feel left out, especially by people you care about. It's easy for our minds to jump to the worst conclusion when we feel excluded. Have there been any other times recently where they've shown they care about you?"
"I'm so exhausted I can't even get out of bed to do my homework. I just want to sleep forever.","It sounds like your body is telling you that it is running on empty right now, and it's okay to listen to that. Can you give yourself permission to rest guilt-free for 20 minutes before trying to tackle just one small piece of homework?"
"I got a failing grade on my math quiz. My parents are going to be so disappointed in me.","Failing a quiz is really tough, and worrying about your parents' reaction makes it so much heavier. A single grade doesn't define your intelligence or your worth. How do you usually cope when you feel this overwhelmed?"
"Everyone else in my class seems to have their life figured out. I don't even know what college course to pick.","It's so common to feel like everyone else has a plan, but the truth is, most people are just trying to figure it out as they go, just like you. There is no strict timeline you have to follow. What are one or two subjects you genuinely enjoy right now?"
"I feel like I'm drowning in requirements. There's a research paper, a presentation, and a group project all due this week.","That is a massive amount of work, and it's completely valid that you feel like you are drowning. When everything piles up, looking at the big picture is paralyzing. What is the smallest, easiest task you could cross off your list right now?"
"My groupmates aren't doing any work and I have to do everything. I'm so stressed and angry.","It is incredibly frustrating to carry the weight of a team project by yourself. Your anger is completely justified. Have you tried communicating your boundaries to them, or is it possible to let your teacher know what's happening?"
"I just feel empty today. Nothing bad happened, I just feel sad and unmotivated.","You don't always need a specific reason to feel sad or empty. Emotions can ebb and flow naturally. Be gentle with yourself today. Is there something small and comforting you can do for yourself, like listening to a favorite song or having a warm drink?"
"I can't stop my heart from racing. I keep thinking about my presentation tomorrow and I feel sick.","It sounds like you're experiencing a lot of anxiety right now, which is a normal response to public speaking. Let's try to ground your body. Can you look around the room and name three things you can see, and two things you can hear?"
"No matter how hard I study, I never get the highest score. I feel like a failure.","You're putting a lot of pressure on yourself to be perfect. Holding yourself to the standard of always getting the highest score is a heavy burden. I want to remind you that your effort matters just as much as the outcome. What are you proud of achieving this week?"
"I feel so lonely. I sit alone at lunch and I don't know how to talk to anyone.","Loneliness can feel very isolating, especially in a busy high school environment. Reaching out is scary when you feel disconnected. Is there a club or a smaller study group where it might feel a little less intimidating to strike up a conversation?"
"I had a panic attack in the bathroom earlier. I'm so embarrassed and I just want to go home.","I'm so sorry you went through that; panic attacks are exhausting and terrifying. Please don't feel embarrassed—your nervous system was just overwhelmed. Are you in a safe, quiet place right now where you can take a moment to breathe?"
"I feel like my parents don't understand me. They just care about my grades, not my mental health.","It is incredibly painful when the people who are supposed to support you don't seem to see what you're struggling with. Your mental health is just as important as your academics. Do you have a counselor or a trusted teacher you could talk to?"
"I just broke up with my partner and my chest physically hurts. I don't know what to do.","Heartbreak is a very real, intense pain, and it's okay if you don't know what to do right now. You don't have to fix the pain immediately; just let yourself grieve. Have you drank any water or eaten anything in the last few hours?"
"I'm so burnt out. I don't care about school anymore. What's the point?","Burnout happens when you've been running on overdrive for far too long. When you're completely drained, it's natural to lose your sense of purpose. Right now, your priority isn't finding 'the point'—it's letting your mind recover. What is one thing you can completely step away from tonight?"
